CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
17-01-0035-46;17-001;PETEN;FLORES;INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA DIEGO AMERICO CETINA PACHECO;BARRIO SANTA ELENA;;RODOLFO MEDINA;----;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);PETÉN
17-01-0039-46;17-;PETEN;FLORES;INSTITUTO NOCTURNO DE CIENCIAS COMERCIALES Y ACADEMIA ANEXA;BARRIO SANTA ELENA;;JOSE FRANCISCO OLAN PONCE;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);PETÉN
17-01-0064-46;17-001;PETEN;FLORES;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;ALDEA IXLU;36084404;RODOLFO MEDINA;BLANCA GRISELDA GAITÁN LOYA;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);PETÉN
17-01-0070-46;17-001;PETEN;FLORES;"CENTRO EDUCATIVO INTEGRAL ""PAULO FREIRE""";ZONA 2;79264648;RODOLFO MEDINA;EFREN PORTILLO;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);PETÉN
17-01-0081-46;17-030;PETEN;FLORES;COLEGIO DE EDUCACION MEDIA SAN ISIDRO;ALDEA IXLU;55164373;RODOLFO MEDINA;RUTILIA SALGUERO CASTRO;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;PETÉN
17-01-0083-46;17-001;PETEN;FLORES;COLEGIO INTEGRADO DE EDUCACION PROFRESIONAL DE PETEN, CIEPP;ALDEA IXLU;78215568;RODOLFO MEDINA;EVELYN MIGDALIA TORALLA LOPEZ;DIVERSIFICADO;PRIVADO;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;PETÉN
17-01-0085-46;17-001;PETEN;FLORES;LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO;CALLE LIMITE, FRENTE AL ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS;79261560;RODOLFO MEDINA;ERWIN AUGUSTO LOPEZ Y LOPEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);PETÉN
17-01-0086-46;17-001;PETEN;FLORES;LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO;CALLE LIMITE, FRENTE A ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS;79261560;RODOLFO MEDINA;ERWIN AUGUSTO LOPEZ Y LOPEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);PETÉN
17-01-0091-46;17-030;PETEN;FLORES;"COLEGIO CRISTIANO ""EL-HASHAMAYIM""";7A. AVENIDA 1-65 ZONA 2, SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES;79261812;RODOLFO MEDINA;JORGE ULICES RUANO CANO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);PETÉN
17-01-0099-46;17-001;PETEN;FLORES;CENTRO EDUCATIVO DEL NAZARENO;4A. CALLE A 5-55 ZONA 1, SANTA ELENA DE LA CRUZ;79263311;RODOLFO MEDINA;ERWIN DAVID LOPEZ OCHAETA;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);PETÉN
