CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
06-01-0039-46;06-001;SANTA ROSA;CUILAPA;"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ""PROFESOR JORGE HUGO BARILLAS MÉNDEZ";LOTIFICACION BELLA VISTA EL CALVARIO;42997568;IRMA YOLANDA CHACON ARROYO;CARLA SELENE FORTUNY HERNÁNDEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0040-46;06-001;SANTA ROSA;CUILAPA;LICEO CUILAPA;CABECERA MUNICIPAL;58560517;IRMA YOLANDA CHACON ARROYO;NERY FRANCISCO MAURICIO LÓPEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);SANTA ROSA
06-01-0069-46;06-001;SANTA ROSA;CUILAPA;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;LOTIFICACION BELLA VISTA BARRIO EL CALVARIO;54089468;IRMA YOLANDA CHACON ARROYO;NERY FRANCISCO MAURICIO LÓPEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0091-46;06-001;SANTA ROSA;CUILAPA;"COLEGIO TECNOLOGICO MODERNO ""NUESTRA SEÑORA DE LA ASUNCION""";ALDEA GUACAMAYAS, VILLA LAURA;41064795;IRMA YOLANDA CHACON ARROYO;JULIO HILARIO SÁNCHEZ CARRILLO;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0099-46;06-001;SANTA ROSA;CUILAPA;ESCUELA NORMAL INTERCULTURAL;LOTIFICACIÓN BELLA VISTA, BARRIO EL CALVARIO;78865480;IRMA YOLANDA CHACON ARROYO;ANGELA RAQUEL DIVAS QUEVEDO;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0105-46;06-039;SANTA ROSA;CUILAPA;"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""COOPERATIVA EL RECUERDO""";CENTRO CULTURAL DE LAS AMERICAS 5 CALLE 1-09 ZONA 1;78866063;JORGE BALDOMERO GONZALEZ BARRERA;ALEYDA MARGARITA MONTENEGRO HERNÁNDEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SANTA ROSA
06-01-0107-46;06-001;SANTA ROSA;CUILAPA;"COLEGIO PARTICULAR MIXTO ""DIVINO NIÑO""";COLONIA LAS VICTORIAS;59495525;IRMA YOLANDA CHACON ARROYO;DELMY PATRICIA CONTRERAS RASHJAL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SANTA ROSA
06-01-0108-46;06-001;SANTA ROSA;CUILAPA;COLEGIO PARTICULAR MIXTO BILINGÜE SANTA FAMILIA;KILOMETRO 57.5 CARRETERA AL SALVADOR, ALDEA SAN JUAN DE ARANA, CUILAPA, SANTA ROSA ALDEA SAN JUAN DE ARANA, CUILAPA, SANTA ROSA;77254514;IRMA YOLANDA CHACON ARROYO;DAVID GUILLERMO BARRIENTOS VALDEZ;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0109-46;06-001;SANTA ROSA;CUILAPA;COLEGIO PARTICULAR MIXTO BILINGÜE SANTA FAMILIA;KILOMETRO 57.5 CARRETERA AL SALVADOR, ALDEA SAN JUAN DE ARANA, CUILAPA, SANTA ROSA ALDEA SAN JUAN DE ARANA, CUILAPA, SANTA ROSA;77254514;IRMA YOLANDA CHACON ARROYO;DAVID GUILLERMO BARRIENTOS VALDEZ;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0110-46;06-039;SANTA ROSA;CUILAPA;PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA;4A. CALLE 2-55 ZONA 4, BARRIO EL LLANITO, CUILAPA, SANTA ROSA;78865957;JORGE BALDOMERO GONZALEZ BARRERA;JORGE BALDOMERO GONZÁLEZ BARRERA;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;DOBLE;A DISTANCIA;SANTA ROSA
