CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
12-01-0044-46;;SAN MARCOS;SAN MARCOS;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA ADSCRITO A CENTRO UNIVERSITARIO USAC JN;ZONA 2 CANTON SAN RAMON;;;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);SAN MARCOS
12-01-0048-46;12-001;SAN MARCOS;SAN MARCOS;"INSTITUTO NORMAL MIXTO DE OCCIDENTE ""JUSTO RUFINO BARRIOS""";10A. AVENIDA 8-27 ZONA 3;77601385;ENIO RELMAN MALDONADO SOLIS;NELSON DE JESÚS BAUTISTA LÓPEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SAN MARCOS
12-01-0049-46;12-001;SAN MARCOS;SAN MARCOS;INSTITUTO ADOLFO V. HALL DE OCCIDENTE;3A. AVENIDA 11-154 ZONA 1;44974285;ENIO RELMAN MALDONADO SOLIS;MANUEL ZAPETA LÓPEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);SAN MARCOS
12-01-0050-46;12-063;SAN MARCOS;SAN MARCOS;"COLEGIO ""SAN MARCOS""";6A. AVENIDA 4-92 ZONA 2;77604147;HELIUV EDILZAR VASQUEZ NAVARRO;SOR CAROLINA PATRICIA MARTÍNEZ TRUJILLO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SAN MARCOS
12-01-0051-46;12-001;SAN MARCOS;SAN MARCOS;COLEGIO PRIVADO MIXTO BACHILLERATO POR MADUREZ;8A. AVENIDA 4-21 ZONA 2;77601360;ENIO RELMAN MALDONADO SOLIS;XXXXXX;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;SAN MARCOS
12-01-0052-46;;SAN MARCOS;SAN MARCOS;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'BACHILLERATO POR MADUREZ' JN;8A. AVENIDA 4-21 ZONA 2;;;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);SAN MARCOS
12-01-0053-46;12-100;SAN MARCOS;SAN MARCOS;COLEGIO PARTICULAR MIXTO SAGRADO CORAZON;10A. AVENIDA 9-71 ZONA 3;77601164;JORGE EBERTO SOLORZANO SANCHEZ;MAGNOLIA ROSALETT CIFUENTES BARRIOS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SAN MARCOS
12-01-0054-46;12-100;SAN MARCOS;SAN MARCOS;"COLEGIO ""SAGRADO CORAZON""";10A. AVENIDA 9-71 ZONA 3;53854931;JORGE EBERTO SOLORZANO SANCHEZ;MAGNOLIA ROSALETT CIFUENTES BARRIOS;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;SAN MARCOS
12-01-0078-46;12-063;SAN MARCOS;SAN MARCOS;"COLEGIO PREUNIVERSITARIO ""GALILEO""";12 AVENIDA 3-33 ZONA 4, CANTON SANTO DOMINGO;77679743;HELIUV EDILZAR VASQUEZ NAVARRO;LIBNY BERENISSE AVILA MAZARIEGOS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SAN MARCOS
12-01-0082-46;12-100;SAN MARCOS;SAN MARCOS;"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""";8 AV. 4-21 ZONA 2;77601549;JORGE EBERTO SOLORZANO SANCHEZ;EDGAR ROLANDO SIGÜENZA RODRÍGUEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;SAN MARCOS
12-01-0085-46;12-063;SAN MARCOS;SAN MARCOS;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;ALDEA LAS LAGUNAS;31110226;HELIUV EDILZAR VASQUEZ NAVARRO;ACSA ABIGAIL ARGUETA VICENTE;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SAN MARCOS
12-01-0088-46;12-001;SAN MARCOS;SAN MARCOS;INSTITUTO NOMRAL MIXTO DE OCCIDENTE JUSTO;10A. AVENIDA 8-27 ZONA 3;77601385;ENIO RELMAN MALDONADO SOLIS;---;DIVERSIFICADO;OFICIAL;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SAN MARCOS
12-01-0089-46;12-100;SAN MARCOS;SAN MARCOS;"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""";8 AV. 4-21 ZONA 2;77601549;JORGE EBERTO SOLORZANO SANCHEZ;EDGAR ROLANDO SIGÜENZA RODRÍGUEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SAN MARCOS
12-01-0096-46;12-100;SAN MARCOS;SAN MARCOS;"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""";8 AV. 4-21 ZONA 2;77249743;JORGE EBERTO SOLORZANO SANCHEZ;EDGAR ROLANDO SIGÜENZA RODRÍGUEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SAN MARCOS
12-01-0100-46;12-001;SAN MARCOS;SAN MARCOS;INSTITUTO ADOLFO V. HALL DE OCCIDENTE;3AV. 11-154 ZONA 1;44974285;ENIO RELMAN MALDONADO SOLIS;MANUEL ZAPETA LÓPEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SAN MARCOS
